releases,performance,time
104,Low,Before
94,Low,Before
38,Low,Before
76,Low,Before
31,Low,Before
43,Low,Before
405,Low,Before
121,Low,Before
59,Low,Before
403,Low,Before
0,Low,Before
587,Low,Before
118,Low,Before
0,Low,Before
122,Low,Before
387,Low,Before
286,Low,Before
60,Low,Before
87,Low,Before
23,Low,Before
42,Low,Before
0,Low,Before
51,Low,Before
468,Low,Before
56,Low,Before
27,Low,Before
24,Low,Before
50,Low,Before
73,Low,Before
858,Low,Before
83,Low,Before
84,Low,Before
42,Low,Before
64,Medium,Before
2,Medium,Before
0,Medium,Before
0,Medium,Before
0,Medium,Before
43,Medium,Before
0,Medium,Before
46,Medium,Before
22,Medium,Before
0,Medium,Before
0,Medium,Before
0,Medium,Before
8,Medium,Before
0,Medium,Before
4,Medium,Before
41,Medium,Before
0,Medium,Before
41,Medium,Before
16,Medium,Before
0,Medium,Before
0,Medium,Before
0,Medium,Before
10,Medium,Before
56,Medium,Before
0,Medium,Before
6,Medium,Before
0,Medium,Before
4,Medium,Before
0,Medium,Before
10,Medium,Before
8,Medium,Before
11,Medium,Before
3,Medium,Before
17,Low,After
2,Low,After
108,Low,After
0,Low,After
6,Low,After
82,Low,After
452,Low,After
13,Low,After
0,Low,After
103,Low,After
214,Low,After
667,Low,After
0,Low,After
114,Low,After
8,Low,After
2,Low,After
29,Low,After
2,Low,After
0,Low,After
44,Low,After
15,Low,After
76,Low,After
6,Low,After
9,Low,After
30,Low,After
20,Low,After
67,Low,After
1,Low,After
16,Low,After
44,Low,After
16,Low,After
4,Low,After
19,Low,After
25,Medium,After
0,Medium,After
15,Medium,After
0,Medium,After
30,Medium,After
24,Medium,After
103,Medium,After
2,Medium,After
0,Medium,After
23,Medium,After
76,Medium,After
169,Medium,After
6,Medium,After
52,Medium,After
21,Medium,After
32,Medium,After
39,Medium,After
4,Medium,After
1,Medium,After
22,Medium,After
0,Medium,After
8,Medium,After
0,Medium,After
5,Medium,After
0,Medium,After
18,Medium,After
5,Medium,After
0,Medium,After
21,Medium,After
15,Medium,After
32,Medium,After
2,Medium,After
7,Medium,After